Signal Legend:

Key        Signal Name

0        = SW[9..0]
1        = KEY[3..0]
2        = KEY[3]
3        = KEY[2]
4        = KEY[1]
5        = KEY[0]
6        = X_reg[15..0]
7        = Y_reg[15..0]
8        = ALUout_wire[7..0]
9        = LEDR[9..0]
10       = GPIO[9..9]
11       = GPIO[9]

Data Table:

Signals-> 0    1  2 3 4 5 6     7     8   9    10 11 

sample

148       300h Bh 1 0 1 1 0004h 0009h 00h 002h 0h 0  
149       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
150       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
151       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
152       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
153       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
154       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
155       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
156       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
157       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
158       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
159       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
160       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
161       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
162       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
163       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
164       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
165       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
166       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
167       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
168       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
169       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
170       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
171       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
172       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
173       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
174       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
175       300h Bh 1 0 1 1 0004h 0009h 00h 002h 1h 1  
